Operator,Operator,Total
A B Aerotransport,A B Aerotransport,2
AB Aerotransport,AB Aerotransport,3
ACES Colombia,ACES Colombia,3
ADC Airlines,ADC Airlines,2
ADES Colombia,ADES Colombia,2
AECA Cargo,AECA Cargo,1
AIDA,AIDA,1
AIRES Colombia,AIRES Colombia,2
ALADA,ALADA,1
ALFA,ALFA,1
ALIANSA Colombia,ALIANSA Colombia,1
ANDESA,ANDESA,1
ANT Air Taxi,ANT Air Taxi,1
APRL,APRL,1
AREA,AREA,2
ARTOP Aerotopografica LDA,ARTOP Aerotopografica LDA,1
ATESA,ATESA,1
ATI,ATI,2
ATI Aircompany,ATI Aircompany,1
AV Air / American Eagle,AV Air / American Eagle,1
AVCOM,AVCOM,1
AVENSA,AVENSA,1
AVIANCA,AVIANCA,24
AVIANCA / AVIANCA,AVIANCA / AVIANCA,1
AVISPA,AVISPA,1
AZAL Cargo Company,AZAL Cargo Company,1
Aaxico Airlines,Aaxico Airlines,3
Ababeel Aviaition,Ababeel Aviaition,1
Abakan Airlines,Abakan Airlines,1
Aca-Ancargo,Aca-Ancargo,1
Ace Flying Service,Ace Flying Service,1
Acme Air,Acme Air,1
Action Air Express Inc. - Air Taxi,Action Air Express Inc. - Air Taxi,1
Action Airlines,Action Airlines,1
Adam Air,Adam Air,1
Aden Airways,Aden Airways,2
Advance Airlines,Advance Airlines,1
Adventure Airlines,Adventure Airlines,2
Aegler Stuart Flying Service  / Private,Aegler Stuart Flying Service  / Private,1
Aer Lingus,Aer Lingus,3
Aer Turas,Aer Turas,1
Aeralpi,Aeralpi,1
Aerevias Centrales Air Service,Aerevias Centrales Air Service,1
Aerial Transit Company,Aerial Transit Company,1
Aero Air,Aero Air,1
Aero Asahi,Aero Asahi,1
Aero Cargo,Aero Cargo,1
Aero Club Libya,Aero Club Libya,1
Aero Clube de Volta Redonda,Aero Clube de Volta Redonda,1
Aero Condor,Aero Condor,1
Aero Cozumel,Aero Cozumel,1
Aero Ejecutivos,Aero Ejecutivos,1
Aero Eslava,Aero Eslava,1
Aero Ferinco Charter,Aero Ferinco Charter,1
Aero France,Aero France,1
Aero Holland,Aero Holland,1
Aero Jet Express,Aero Jet Express,1
Aero Lloyd,Aero Lloyd,1
Aero Mayflower Transit Co,Aero Mayflower Transit Co,1
Aero National - Air Taxi,Aero National - Air Taxi,1
Aero O-Y,Aero O-Y,4
Aero PaLease - Air Taxi,Aero PaLease - Air Taxi,1
Aero Pantanal - Air Taxi,Aero Pantanal - Air Taxi,1
Aero Peru,Aero Peru,1
Aero Sudpacifico,Aero Sudpacifico,1
Aero Taxis Equatorianos,Aero Taxis Equatorianos,1
Aero Transportes,Aero Transportes,1
Aero Transporti Italiani,Aero Transporti Italiani,5
Aero Tropical,Aero Tropical,1
Aero-Tropics,Aero-Tropics,1
Aerocalifornia,Aerocalifornia,1
Aerocaribbean - Charter,Aerocaribbean - Charter,1
Aerocaribe,Aerocaribe,2
Aerochasqui,Aerochasqui,1
Aerocom,Aerocom,1
Aerocondor,Aerocondor,1
Aerocondor de Colombia,Aerocondor de Colombia,1
Aerocontroctors - Charter,Aerocontroctors - Charter,1
Aerocord,Aerocord,1
Aerocosta Colombia,Aerocosta Colombia,1
Aeroejecutivos Colombia,Aeroejecutivos Colombia,1
Aeroespresso,Aeroespresso,1
Aeroextra,Aeroextra,1
Aeroflite Services,Aeroflite Services,1
Aeroflot,Aeroflot,179
Aeroflot / Aeroflot,Aeroflot / Aeroflot,3
Aeroflot / Military - Russian Air Force,Aeroflot / Military - Russian Air Force,1
Aeroflot / Soviet Air Force,Aeroflot / Soviet Air Force,1
Aeroflot /Military - Russian,Aeroflot /Military - Russian,1
Aeroflot Russian International Airways,Aeroflot Russian International Airways,1
Aerogulf,Aerogulf,1
Aerolatino (Aerocaribe),Aerolatino (Aerocaribe),1
Aeroleasing - Air Taxi,Aeroleasing - Air Taxi,1
Aeroleo Taxi Aereo,Aeroleo Taxi Aereo,1
Aerolift,Aerolift,2
Aerolift Philippines,Aerolift Philippines,1
Aerolineas Abaroa,Aerolineas Abaroa,2
Aerolineas Argentinas,Aerolineas Argentinas,13
Aerolineas Argo,Aerolineas Argo,1
Aerolineas Centrales de Colombia,Aerolineas Centrales de Colombia,2
Aerolineas Condor,Aerolineas Condor,1
Aerolineas Cuahonte,Aerolineas Cuahonte,1
Aerolineas El Salvador,Aerolineas El Salvador,1
Aerolineas Flecha Austral,Aerolineas Flecha Austral,2
Aerolineas La Gaviola,Aerolineas La Gaviola,1
Aerolineas La Paz,Aerolineas La Paz,1
Aerolineas Litoral Argentina,Aerolineas Litoral Argentina,1
Aerolineas Nacionales,Aerolineas Nacionales,1
Aerolineas TAO,Aerolineas TAO,3
Aeromexico,Aeromexico,4
Aeromexico / Private,Aeromexico / Private,1
Aeromist-Kharkiv,Aeromist-Kharkiv,1
Aeronautical Services - Air Taxi,Aeronautical Services - Air Taxi,1
Aeronaves de Mexico,Aeronaves de Mexico,5
Aeronaves de Panama,Aeronaves de Panama,1
Aeronaves del Peru,Aeronaves del Peru,1
Aeronica,Aeronica,3
Aeronor Chile,Aeronor Chile,1
Aeronorte,Aeronorte,1
Aeronorte Colombia,Aeronorte Colombia,2
Aeropeca,Aeropeca,1
Aeroperlas,Aeroperlas,2
Aeroperu,Aeroperu,2
Aeropesca Colombia,Aeropesca Colombia,3
Aeropol,Aeropol,1
Aeropostale,Aeropostale,26
Aeropostale - La Tecoere Company,Aeropostale - La Tecoere Company,1
Aeroput,Aeroput,1
Aeroservice International,Aeroservice International,1
Aeroservice S de RL,Aeroservice S de RL,1
Aeroservicios Empresariales de Durango,Aeroservicios Empresariales de Durango,1
Aerosucre Colombia,Aerosucre Colombia,4
Aerosweet Airlines (LVOV),Aerosweet Airlines (LVOV),1
Aerotaca,Aerotaca,3
Aerotaxi Manaus,Aerotaxi Manaus,1
Aerotechnia,Aerotechnia,1
Aerotransportes Petroleros,Aerotransportes Petroleros,1
Aerotuy airline,Aerotuy airline,1
Aerovalles,Aerovalles,1
Aerovanguardia,Aerovanguardia,1
Aerovias Brasil,Aerovias Brasil,3
Aerovias Condor,Aerovias Condor,1
Aerovias Contreras,Aerovias Contreras,2
Aerovias Cuba International,Aerovias Cuba International,1
Aerovias Guest,Aerovias Guest,1
Aerovias Halcon,Aerovias Halcon,1
Aerovias Rojas,Aerovias Rojas,1
Aerovias Urraca,Aerovias Urraca,1
Aerovias Venezolanas SA (Venezuela),Aerovias Venezolanas SA (Venezuela),1
Aerovias de Guatemala SA,Aerovias de Guatemala SA,2
Aerovias del Norte,Aerovias del Norte,1
Aerovias del Valle,Aerovias del Valle,1
Africa One Congo,Africa One Congo,1
African Air,African Air,1
African Commuter Services,African Commuter Services,1
Agape Flight Inc.,Agape Flight Inc.,1
Agco Corp,Agco Corp,1
Agee Flying Service - Air Taxi,Agee Flying Service - Air Taxi,1
Agencia Interamericana de Aviada,Agencia Interamericana de Aviada,2
Aigle Azur,Aigle Azur,5
Air  Mali,Air  Mali,1
Air 70,Air 70,1
Air Affaires Gabon,Air Affaires Gabon,1
Air Afrique,Air Afrique,2
Air Albatross,Air Albatross,1
Air Algerie,Air Algerie,5
Air Ambulance - Med-Trans Corp.,Air Ambulance - Med-Trans Corp.,1
Air Amercia,Air Amercia,1
Air America,Air America,11
Air Angles Inc.,Air Angles Inc.,1
Air Anguilla,Air Anguilla,1
Air Atlas,Air Atlas,2
Air Bissau,Air Bissau,1
Air Bleu,Air Bleu,1
Air Cameroon,Air Cameroon,1
Air Canada,Air Canada,6
Air Caraibes,Air Caraibes,1
Air Cargo Carriers,Air Cargo Carriers,1
Air Cargo Express,Air Cargo Express,1
Air Carriers,Air Carriers,2
Air Carriers Express Services Inc,Air Carriers Express Services Inc,1
Air Central,Air Central,1
Air Chaparral - Air Taxi,Air Chaparral - Air Taxi,1
Air Charter,Air Charter,2
Air Charter - Tanzanian Air Services,Air Charter - Tanzanian Air Services,1
Air China,Air China,1
Air Comores,Air Comores,1
Air Congo,Air Congo,2
Air Continental,Air Continental,1
Air East,Air East,1
Air Express,Air Express,2
Air Ferry,Air Ferry,1
Air Ferry Ltd,Air Ferry Ltd,1
Air Fiji,Air Fiji,1
Air Fiordland,Air Fiordland,2
Air Flamence,Air Flamence,1
Air Florida,Air Florida,1
Air France,Air France,70
Air Freight New Zealand,Air Freight New Zealand,2
Air Gabon,Air Gabon,1
Air Gaspé,Air Gaspé,1
Air Georgian,Air Georgian,1
Air Global,Air Global,1
Air Guadeloupe,Air Guadeloupe,2
Air Guinee,Air Guinee,1
Air Haiti International,Air Haiti International,1
Air Hawaii,Air Hawaii,1
Air Illinois,Air Illinois,1
Air India,Air India,10
Air Inter,Air Inter,3
Air Iowa,Air Iowa,1
Air Ivoire,Air Ivoire,1
Air Ivorie,Air Ivorie,1
Air Jordan,Air Jordan,1
Air Karibu,Air Karibu,1
Air Kasai,Air Kasai,1
Air Lanka,Air Lanka,1
Air Laos,Air Laos,2
Air Liberia,Air Liberia,1
Air Littoral,Air Littoral,3
