Decade,Year,Date,Location,Operator,Op_Code,Route,Type,Make_Type,Aboard,Fatalities,Summary
1900-1910,1908,1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Military,Demonstration,Wright Flyer III,Wright,2.0,1.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1911-1920,1912,1912-12-07,"AtlantiCity, New Jersey",Military - U.S. Navy,Military,Test flight,Dirigible,Dirigibl,5.0,5.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
1911-1920,1913,1913-06-08,"Victoria, British Columbia, Canada",Private,Passenger,,Curtiss seaplane,Curtiss,1.0,1.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
1911-1920,1913,1913-09-09,Over the North Sea,Military - German Navy,Military,,Zeppelin L-1 (airship),Zeppelin,20.0,14.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
1911-1920,1913,1913-10-17,"Near Johannisthal, Germany",Military - German Navy,Military,,Zeppelin L-2 (airship),Zeppelin,30.0,30.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
1911-1920,1915,1915-05-03,"Tienen, Belgium",Military - German Navy,Military,,Zeppelin L-8 (airship),Zeppelin,41.0,21.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
1911-1920,1915,1915-03-09,"Off Cuxhaven, Germany",Military - German Navy,Military,,Zeppelin L-10 (airship),Zeppelin,19.0,19.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
1911-1920,1916,1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Military,,Schutte-Lanz S-L-10 (airship),Schutte-Lanz,20.0,20.0,"Crashed near the Black Sea, cause unknown."
1911-1920,1916,1916-09-24,"Billericay, England",Military - German Navy,Military,,Zeppelin L-32 (airship),Zeppelin,22.0,22.0,Shot down by British aircraft crashing in flames.
1911-1920,1916,1916-01-10,"Potters Bar, England",Military - German Navy,Military,,Zeppelin L-31 (airship),Zeppelin,19.0,19.0,Shot down in flames by the British 39th Home Defence Squadron.
1911-1920,1916,1916-11-21,"Mainz, Germany",Military - German Army,Military,,Super Zeppelin (airship),Super,28.0,27.0,Crashed in a storm.
